scheduler,cards,n_calls,mean_us,median_us,p99_us,max_us
rr,4,892,3.1095602645668214,2.5010667741298676,8.930675685405747,14.273915439844131
bestfit,4,960,8.41231424904739,7.223570719361305,15.815780498087403,20.971056073904037
drf,4,960,8.494466601405293,7.429858669638634,16.25916920602321,18.68605613708496
p2c,4,883,24.214188124254633,18.280930817127228,56.78789690136905,86.40298619866371
stps-spatial,4,936,1027.2780071116156,11.777505278587341,28.384593315422528,706306.2018714845
stps,4,1055,949.8679021735327,65.30014798045158,125.62619522213936,701568.7092207372
rr,16,3364,3.3816192564903345,1.9550789147615433,18.62620934844016,49.02901127934456
bestfit,16,3565,24.01689313049069,23.29982817173004,46.385619789361975,55.126845836639404
drf,16,3565,25.208243449724073,24.913810193538666,47.22714424133304,56.67423829436302
p2c,16,3332,30.527751678142515,24.639535695314407,93.48766412585974,108.54098945856094
stps-spatial,16,3487,302.03473307929477,31.241215765476227,66.93447008728981,700879.5086294413
stps,16,4033,413.45448805651534,208.8639885187149,327.9772587120532,700595.4231135547
