scheduler,seed,cards,tasks,arrival_mode,bw_cap,card_cv,card_jfi,card_lif,max_min_ratio,avg_load_imbalance,completion_rate,throughput,throughput_excl_cold,mean_cold_start,p99_delay,avg_delay,p99_delay_excl_cold,avg_delay_excl_cold,avg_congestion_ratio,congested_card_tick_frac,mean_congestion_wait_ticks,p95_congestion_wait_ticks,avg_utilization,peak_backlog,time_card_cv_mean,time_card_cv_max,time_card_jfi_mean,time_card_lif_mean,time_card_lif_max,time_card_max_min_ratio_mean,time_card_load_variance_mean,completed_tasks,tail_count,tail_frac,max_delay,avg_delay_above_p99,max_delay_excl_cold,eff_tail_count,eff_tail_frac,eff_avg_delay_above_p99,fingerprint_set
rr,21,4,800,poisson,900000.0,0.45252548325276654,0.8226569542326025,1.5732219739737743,4.3689814357612375,57852791599.58886,1.0,1.5238095238095237,1.5238095238095237,0.0,15.0,5.29125,15.0,5.29125,0.1337478450408246,0.3337531486146096,1.4025,4.0,0.6371536087387175,2871232.859375,0.5059532443723747,0.5289879097008937,0.7961240128030764,1.570692336727563,1.619524456510658,53.23285028206872,83994251730.15201,800,0,0.0,15.0,0.0,15.0,0,0.0,0.0,mixed
rr,42,4,800,poisson,900000.0,0.44499439657689227,0.8258750744232187,1.5683877627819791,4.390139367608863,59439715655.80713,1.0,1.5296367112810707,1.5296367112810707,0.0,15.0,5.28625,15.0,5.28625,0.13480213530285634,0.34367088607594937,1.4725,4.0,0.6476841473277074,2751108.90625,0.491117115411212,0.5153928732598126,0.8056195460374092,1.54467310814946,1.5868182834737201,62.49091800116777,81942675801.797,800,0,0.0,15.0,0.0,15.0,0,0.0,0.0,mixed
rr,99,4,800,poisson,900000.0,0.43304232546291516,0.8336046703886539,1.5391240597352447,3.971246199931158,59378332132.086044,1.0,1.5325670498084292,1.5325670498084292,0.0,15.0,5.285,15.0,5.285,0.1334923724275436,0.33248730964467005,1.42,4.0,0.6469072050903802,2931108.890625,0.48538124677569466,0.5108926009827037,0.8092179605755347,1.5486255536693119,1.6504589772781617,27.766496899841847,79644123394.42067,800,0,0.0,15.0,0.0,15.0,0,0.0,0.0,mixed
rr,123,4,800,poisson,900000.0,0.4562687350851198,0.8200931275355038,1.5721661630388404,4.215876978706612,62598459590.714676,1.0,1.5267175572519085,1.5267175572519085,0.0,15.0,5.28125,15.0,5.28125,0.13170670064839948,0.32765151515151514,1.4075,4.0,0.6380635021143783,2751108.90625,0.5022721516955202,0.5324278711938579,0.7983725037968737,1.5711698488011168,1.640520288314508,24.69854755030763,82646468499.8941,800,0,0.0,15.0,0.0,15.0,0,0.0,0.0,mixed
rr,2024,4,800,poisson,900000.0,0.45853558779162057,0.8184830165573451,1.590714936706256,4.408634454734235,60473276140.526726,1.0,1.5267175572519085,1.5267175572519085,0.0,15.0,5.285,15.0,5.285,0.12904589993026852,0.31565656565656564,1.41125,4.0,0.628887618547947,2876209.90625,0.5048118092405725,0.5596728372825246,0.7967946876070551,1.5963672449706614,1.7591149852298058,38.965698916188174,81075559395.98734,800,0,0.0,15.0,0.0,15.0,0,0.0,0.0,mixed
rr,21,4,800,bursty,900000.0,0.485053450322723,0.7931186219939158,1.6684619878944693,4.948251886189426,49447511948.25383,1.0,1.520912547528517,1.520912547528517,0.0,15.0,5.395,15.0,5.395,0.13982761571156196,0.3473618090452261,1.725,4.0,0.5987029150472415,3292713.228515625,0.6054451379694803,0.6522368788368664,0.7318014496099282,1.6729246547889367,1.7894445436879334,67.50000164794926,106117680743.41626,800,2,0.0025,18.0,17.0,18.0,2,0.0025,17.0,mixed
rr,42,4,800,bursty,900000.0,0.4963200279185902,0.792599916454952,1.6685778407802394,4.843621002187498,49595812902.64955,1.0,1.5238095238095237,1.5238095238095237,0.0,15.0,5.4,15.0,5.4,0.1253287530913031,0.3066750629722922,1.73,4.0,0.5777828533554611,2751108.90625,0.6075512945652752,0.6395336849400469,0.7304153780016236,1.7322408490722494,1.8172005044563146,70.24668428582555,99700636055.9116,800,1,0.00125,18.0,18.0,18.0,1,0.00125,18.0,mixed
rr,99,4,800,bursty,900000.0,0.4709323065357283,0.802661241145712,1.6367395706070784,4.002482634621482,49107794561.93046,1.0,1.5355086372360844,1.5355086372360844,0.0,15.0,5.3975,15.0,5.3975,0.15199076132177902,0.36450381679389315,1.8075,4.0,0.6200932425616144,2610750.84375,0.5758479979005442,0.6154535113933959,0.7509697236283341,1.6134931442422555,1.6451060179451502,55.3500070268626,103211901230.10416,800,1,0.00125,18.0,18.0,18.0,1,0.00125,18.0,mixed
rr,123,4,800,bursty,900000.0,0.443120862952672,0.8207653654916209,1.599495153139116,5.087907695637473,47956142569.840645,1.0,1.520912547528517,1.520912547528517,0.0,15.0,5.37125,15.0,5.37125,0.1399698549590186,0.34045226130653267,1.695,4.0,0.6206809202424884,2876209.90625,0.5523716076729379,0.6057462902805394,0.7661652594928052,1.6124798183827669,1.6823137539875361,67.50000164794926,95049496037.65678,800,2,0.0025,19.0,18.5,19.0,2,0.0025,18.5,mixed
rr,2024,4,800,bursty,900000.0,0.4734744497179974,0.7976171400628035,1.6489443210432042,4.8449684554090116,48289288669.64353,1.0,1.5267175572519085,1.5267175572519085,0.0,19.0,5.8625,19.0,5.8625,0.15870226279951782,0.36553030303030304,1.9275,5.0,0.6033278381149001,2998339.75,0.6108991968932815,0.6522147866661795,0.7282650224357208,1.6587715512691568,1.7081491601685546,67.50000164794926,109955596320.92809,800,6,0.0075,24.0,22.166666666666668,24.0,6,0.0075,22.166666666666668,mixed
