scheduler,seed,cards,tasks,arrival_mode,bw_cap,card_cv,card_jfi,card_lif,max_min_ratio,avg_load_imbalance,completion_rate,throughput,throughput_excl_cold,mean_cold_start,p99_delay,avg_delay,p99_delay_excl_cold,avg_delay_excl_cold,avg_congestion_ratio,congested_card_tick_frac,mean_congestion_wait_ticks,p95_congestion_wait_ticks,avg_utilization,peak_backlog,time_card_cv_mean,time_card_cv_max,time_card_jfi_mean,time_card_lif_mean,time_card_lif_max,time_card_max_min_ratio_mean,time_card_load_variance_mean,completed_tasks,tail_count,tail_frac,max_delay,avg_delay_above_p99,max_delay_excl_cold,eff_tail_count,eff_tail_frac,eff_avg_delay_above_p99,fingerprint_set
rr,21,16,3200,poisson,900000.0,0.4359936660268669,0.837483157305556,1.537974031772028,13.307366292751611,63289800983.36023,1.0,6.083650190114068,6.083650190114068,0.0,15.0,5.285,15.0,5.285,0.11549753401297971,0.302606783919598,1.195,3.0,0.6638075465208187,2667063.578125,0.4474944100528812,0.49580145732260844,0.8330628006012912,1.507827162075801,1.5942153301958994,66.65170497642038,71347342907.61009,3200,0,0.0,15.0,0.0,15.0,0,0.0,0.0,mixed
rr,42,16,3200,poisson,900000.0,0.4268120058193634,0.8430683575192126,1.533427804877486,12.467747462408768,62172059124.07329,1.0,6.072106261859583,6.072106261859583,0.0,15.0,5.285,15.0,5.285,0.11921255430593167,0.30874060150375937,1.2265625,3.0,0.664757135821358,2982217.9111328125,0.43946939314441735,0.49510751124458857,0.8379951064927897,1.505566001271732,1.6211672986752739,59.227428034406586,68998603402.56554,3200,0,0.0,15.0,0.0,15.0,0,0.0,0.0,mixed
rr,99,16,3200,poisson,900000.0,0.4196164444709222,0.8482004541257123,1.5164004188237614,10.793679982695181,61978933340.23162,1.0,6.072106261859583,6.072106261859583,0.0,15.0,5.285,15.0,5.285,0.12132831672458198,0.31140350877192985,1.235625,3.0,0.6690395400490224,3011108.96875,0.42889360468566684,0.4696252417584244,0.8445074861501198,1.4961413662891059,1.5915413921855674,60.83710940024163,66557153891.44974,3200,0,0.0,15.0,0.0,15.0,0,0.0,0.0,mixed
rr,123,16,3200,poisson,900000.0,0.43317400878978424,0.8400742735312949,1.5395979480754782,12.386249951858696,63224585736.51675,1.0,6.072106261859583,6.072106261859583,0.0,15.0,5.285,15.0,5.285,0.12148909549858043,0.3074874686716792,1.2496875,3.0,0.6593035570430729,3173730.2392578125,0.4421827257757146,0.4921487391032112,0.836331814485097,1.5188132015911378,1.6544510502594723,56.57452074301481,68676180547.34093,3200,0,0.0,15.0,0.0,15.0,0,0.0,0.0,mixed
rr,2024,16,3200,poisson,900000.0,0.4335240390764944,0.8396838790751544,1.5354993804853019,11.607361699316057,62954354837.55714,1.0,6.072106261859583,6.072106261859583,0.0,15.0,5.285,15.0,5.285,0.11819514383376345,0.30357142857142855,1.2046875,3.0,0.6617451043532905,3173730.2392578125,0.44280848487000674,0.4982995966574186,0.8359204286154721,1.5134655178661176,1.6447201642460028,59.981972362281354,69321143759.57138,3200,0,0.0,15.0,0.0,15.0,0,0.0,0.0,mixed
rr,21,16,3200,bursty,900000.0,0.5269342579834115,0.7750783355597838,1.9295413679557802,22.32979614993499,56499789627.728745,1.0,6.083650190114068,6.083650190114068,0.0,15.0,5.33625,15.0,5.33625,0.1342974859116855,0.33668341708542715,1.5746875,4.0,0.6115553649829074,3235156.828125,0.5790226130139027,0.6350382482862912,0.7489167428755537,1.6369162047845967,1.7663064248131266,67.50000164794926,101384992028.29625,3200,5,0.0015625,16.0,16.0,16.0,5,0.0015625,16.0,mixed
rr,42,16,3200,bursty,900000.0,0.5380666386490673,0.7680625151047569,1.9300743001809915,24.029189968502912,57978574205.61979,1.0,6.072106261859583,6.072106261859583,0.0,15.0,5.3471875,15.0,5.3471875,0.11997015277265102,0.3081140350877193,1.5634375,4.0,0.596020917262877,3308189.634765625,0.5881265218376348,0.641358296438442,0.743011070317175,1.6805769157292896,1.7925723160658964,68.42606877130108,99191289883.65762,3200,4,0.00125,16.0,16.0,16.0,4,0.00125,16.0,mixed
rr,99,16,3200,bursty,900000.0,0.49385451742288505,0.7929723738560314,1.8253743387335863,17.57178812146358,56288495331.5645,1.0,6.072106261859583,6.072106261859583,0.0,15.0,5.4265625,15.0,5.4265625,0.12967021243851684,0.32957393483709274,1.5559375,3.0,0.6225915679379248,3343352.828125,0.5467992448492289,0.5991150561208686,0.7698095957687197,1.6070499716477538,1.6892600902472399,67.50000164794926,93813363225.6289,3200,12,0.00375,19.0,17.583333333333332,19.0,12,0.00375,17.583333333333332,mixed
rr,123,16,3200,bursty,900000.0,0.5061753886175332,0.7856078829882305,1.8342212088985443,21.044872997128095,57556545160.75337,1.0,6.072106261859583,6.072106261859583,0.0,15.0,5.3703125,15.0,5.3703125,0.12113146921294285,0.31265664160401,1.5209375,3.0,0.6137767547763792,3113320.71875,0.5556140950947406,0.6205059774218843,0.7640413411481737,1.6315529102003685,1.7502195470576092,67.50000164794926,93877882515.52077,3200,6,0.001875,19.0,17.5,19.0,6,0.001875,17.5,mixed
rr,2024,16,3200,bursty,900000.0,0.5080792551267789,0.7821231249124841,1.907876573086619,21.837780686417545,55064619292.79405,1.0,6.072106261859583,6.072106261859583,0.0,16.009999999999764,5.68,16.009999999999764,5.68,0.14205937923429793,0.34649122807017546,1.6940625,4.0,0.6164787851950705,3764905.900390625,0.5698820452206272,0.5945901335464303,0.7548445478230059,1.6231745801738642,1.6875245805196297,67.50000164794926,99860869353.10837,3200,32,0.01,23.0,19.0625,23.0,32,0.01,19.0625,mixed
