scheduler,flat_pct,bursty_pct,n,card_cv_mean,card_cv_ci95,card_jfi_mean,card_jfi_ci95,max_min_ratio_mean,max_min_ratio_ci95,avg_load_imbalance_mean,avg_load_imbalance_ci95,completion_rate_mean,completion_rate_ci95,throughput_mean,throughput_ci95
rr,100,0,5,0.2707307085473139,0.011959266138111036,0.9113391303403842,0.0045845020829440196,1.56652846320303,0.0163297421052925,6078391668.456553,112405919.72866192,1.0,0.0,1.5558181548928125,0.00222006196564793
rr,75,25,5,0.5777647763940034,0.0075712490056594325,0.7525282356249239,0.003264223304726634,12.059574683677917,0.23828878914887705,27559599966.381077,603676981.2013149,1.0,0.0,1.5558181548928125,0.00222006196564793
rr,50,50,5,0.8137725522355992,0.010677578020366273,0.6143609823310117,0.005466849884480643,26.231338117170207,0.6557946529443199,51301922676.38152,908292165.9344187,1.0,0.0,1.5558181548928125,0.00222006196564793
rr,25,75,5,0.9895444282072139,0.009229411323544321,0.5310771774262488,0.0048309913896032565,30.51309858552676,0.7805313780351435,67361214955.03455,1466726499.022625,1.0,0.0,1.5558181548928125,0.00222006196564793
rr,0,100,5,0.9232805137327149,0.02955022761051944,0.5789017574334121,0.01339834995015962,32.308933372754716,0.9693339616108552,86239974762.9675,2351872808.2188673,1.0,0.0,1.5558181548928125,0.00222006196564793
bestfit,100,0,5,0.3221474998089689,0.013155176118383984,0.8856151058192425,0.0053089347688264656,1.6725137804424275,0.024254700631603017,8385875185.026034,127077836.1346904,1.0,0.0,1.5558181548928125,0.00222006196564793
bestfit,75,25,5,0.6003460018872082,0.009599254377565881,0.7382917856603061,0.004103126734362017,10.785968150441501,0.4250644837816608,39068705517.810394,811995973.1205236,1.0,0.0,1.5558181548928125,0.00222006196564793
bestfit,50,50,5,0.8439850285497812,0.011013725564074331,0.5998775998572401,0.0054344441092389825,25.440660344712356,1.4410121802528788,71594819984.20123,2441634363.8857293,1.0,0.0,1.5558181548928125,0.00222006196564793
bestfit,25,75,5,1.0238213621832584,0.012505834558226124,0.5118375744090341,0.005563945630827113,34.2033693165781,0.7790044477918218,93722152917.83594,2311494889.3932962,1.0,0.0,1.5558181548928125,0.00222006196564793
bestfit,0,100,5,1.0071827552316117,0.03070376631079254,0.5379674689082268,0.013401048138837045,39.124788929159266,1.244941904266807,117914685158.64532,4331256846.52309,1.0,0.0,1.5558181548928125,0.00222006196564793
drf,100,0,5,0.3221474998089689,0.013155176118383984,0.8856151058192425,0.0053089347688264656,1.6725137804424275,0.024254700631603017,8385875185.026034,127077836.1346904,1.0,0.0,1.5558181548928125,0.00222006196564793
drf,75,25,5,0.6003460018872082,0.009599254377565881,0.7382917856603061,0.004103126734362017,10.785968150441501,0.4250644837816608,39068705517.810394,811995973.1205236,1.0,0.0,1.5558181548928125,0.00222006196564793
drf,50,50,5,0.8439850285497812,0.011013725564074331,0.5998775998572401,0.0054344441092389825,25.440660344712356,1.4410121802528788,71594819984.20123,2441634363.8857293,1.0,0.0,1.5558181548928125,0.00222006196564793
drf,25,75,5,1.0238213621832584,0.012505834558226124,0.5118375744090341,0.005563945630827113,34.2033693165781,0.7790044477918218,93722152917.83594,2311494889.3932962,1.0,0.0,1.5558181548928125,0.00222006196564793
drf,0,100,5,1.0071827552316117,0.03070376631079254,0.5379674689082268,0.013401048138837045,39.124788929159266,1.244941904266807,117914685158.64532,4331256846.52309,1.0,0.0,1.5558181548928125,0.00222006196564793
p2c,100,0,5,0.6989093647457316,0.00620382747456104,0.6828328178380845,0.0033826688471130222,2.582678982815819,0.0819321799508145,46371957983.188255,1216000899.6930876,1.0,0.0,1.5558181548928125,0.00222006196564793
p2c,75,25,5,0.8380412196935484,0.013451210584390546,0.6071444587286569,0.005985668534097956,12.682634750830204,0.39900783208541546,76724300954.42497,935607123.743682,1.0,0.0,1.5558181548928125,0.00222006196564793
p2c,50,50,5,0.9968489606893852,0.007129704603133513,0.5254220489646956,0.0028409418859748257,25.479391592576583,0.9497232919436478,106730083100.83064,922770897.4774956,1.0,0.0,1.5558181548928125,0.00222006196564793
p2c,25,75,5,1.1416892018019844,0.007707548774225884,0.4584944174803127,0.003692832312181081,36.491671756273206,0.8217887983183584,135660779764.4503,1396614776.9772956,1.0,0.0,1.5558181548928125,0.00222006196564793
p2c,0,100,5,1.1708122218341592,0.023470846485901097,0.45809889341136606,0.010135254053649071,45.18518613692099,0.9630554804453139,166176114807.63718,2494322769.434658,1.0,0.0,1.5558181548928125,0.00222006196564793
stps-spatial,100,0,5,0.3221474998089689,0.013155176118383984,0.8856151058192425,0.0053089347688264656,1.6725137804424275,0.024254700631603017,8385875185.026034,127077836.1346904,1.0,0.0,1.5558181548928125,0.00222006196564793
stps-spatial,75,25,5,0.612069545295977,0.01000574147172937,0.7296332976599005,0.0051583242679923615,10.189955006388175,0.5607205177947132,47933989600.517525,423482599.0471789,1.0,0.0,1.5558181548928125,0.00222006196564793
stps-spatial,50,50,5,0.9088565801984544,0.016039351213241453,0.5690241144802796,0.008407557945457183,18.076417272358288,1.1103681705487807,92723027903.20068,1276148812.1688633,1.0,0.0,1.5558181548928125,0.00222006196564793
stps-spatial,25,75,5,1.19632862017981,0.00699854704213108,0.4358399330369836,0.0025394106616442114,46.92806824157869,1.1330910761441906,155483098953.48563,5373824759.771929,1.0,0.0,1.5558181548928125,0.00222006196564793
stps-spatial,0,100,5,0.9608140192053143,0.033380021766671146,0.5602903305726538,0.014906441514508885,35.18711955705122,1.1561487739953393,98851559897.97119,3993323326.1435666,1.0,0.0,1.5558181548928125,0.00222006196564793
