scheduler,utilization,n,card_cv_mean,card_cv_ci95,card_jfi_mean,card_jfi_ci95,max_min_ratio_mean,max_min_ratio_ci95,avg_load_imbalance_mean,avg_load_imbalance_ci95,completion_rate_mean,completion_rate_ci95,throughput_mean,throughput_ci95
rr,0.3,5,0.9762906580926541,0.011470756535714586,0.5477499836746692,0.005010639911444445,14.369293339298371,1.9931534492717262,249638313210.3824,2499153281.6931615,1.0,0.0,0.6216177791080515,0.003190680136382101
rr,0.5,5,0.8333465020663142,0.007462762296948485,0.6055982521280714,0.004375565324670146,11.099131776356307,0.8737116473693617,382244395827.3554,847826418.8348849,1.0,0.0,1.0670799834263691,0.0026410948093922213
rr,0.7,5,0.7548872863078099,0.006103479683942233,0.6443151126130285,0.00361751269121462,9.332606053538088,0.23266418157416677,468242248588.859,5996930617.141079,1.0,0.0,1.5278896798805681,0.0029178773715911434
rr,0.85,5,0.6463584746189422,0.00925058176414336,0.7076585428117936,0.005726705690639466,7.70636684577336,0.5583121181701817,477403589047.87573,7930167507.12725,1.0,0.0,1.9525342363734102,0.0037334493727308737
rr,0.95,5,0.6074660058026254,0.006860099071629852,0.7311498236180075,0.004055877403930247,6.052975449548716,0.6640989488086191,468326479934.49896,7325838286.038807,1.0,0.0,2.0936508224127013,0.003980432371783792
bestfit,0.3,5,0.9039738665545473,0.019887725847542705,0.5786698134579281,0.009810720981516223,14.552476590441016,1.5286777610688602,199992322129.8798,2382902784.644188,1.0,0.0,0.6216177791080515,0.003190680136382101
bestfit,0.5,5,0.73641824697073,0.005646251619800161,0.656531637142562,0.002961746357863725,12.040708935535681,0.6982119272916969,298423451340.1728,4367305921.062927,1.0,0.0,1.0670799834263691,0.0026410948093922213
bestfit,0.7,5,0.6656006192290734,0.00972630516804437,0.695538992944177,0.005599130820902923,8.167820349637996,1.1436897058205073,352341324808.38617,5726780200.9561,1.0,0.0,1.5278896798805681,0.0029178773715911434
bestfit,0.85,5,0.5568213511947011,0.011808142382131218,0.7619632324694635,0.007210294528871054,5.5130431755267955,0.6850801783299842,351478318484.03186,10726637485.890072,1.0,0.0,1.9525342363734102,0.0037334493727308737
bestfit,0.95,5,0.5006092180376122,0.010044825053720636,0.7957026913020536,0.006030414993989503,4.599758666296089,0.47284745099802755,320512915169.434,9070887508.549967,1.0,0.0,2.0936508224127013,0.003980432371783792
drf,0.3,5,0.9039738665545473,0.019887725847542705,0.5786698134579281,0.009810720981516223,14.552476590441016,1.5286777610688602,199992322129.8798,2382902784.644188,1.0,0.0,0.6216177791080515,0.003190680136382101
drf,0.5,5,0.73641824697073,0.005646251619800161,0.656531637142562,0.002961746357863725,12.040708935535681,0.6982119272916969,298423451340.1728,4367305921.062927,1.0,0.0,1.0670799834263691,0.0026410948093922213
drf,0.7,5,0.6656006192290734,0.00972630516804437,0.695538992944177,0.005599130820902923,8.167820349637996,1.1436897058205073,352341324808.38617,5726780200.9561,1.0,0.0,1.5278896798805681,0.0029178773715911434
drf,0.85,5,0.5568213511947011,0.011808142382131218,0.7619632324694635,0.007210294528871054,5.5130431755267955,0.6850801783299842,351478318484.03186,10726637485.890072,1.0,0.0,1.9525342363734102,0.0037334493727308737
drf,0.95,5,0.5006092180376122,0.010044825053720636,0.7957026913020536,0.006030414993989503,4.599758666296089,0.47284745099802755,320512915169.434,9070887508.549967,1.0,0.0,2.0936508224127013,0.003980432371783792
p2c,0.3,5,1.1265243976650234,0.014188503052938126,0.46815961257880906,0.007434901128201475,13.146616590046094,1.1610602226098674,251534691595.86148,7034268469.345109,1.0,0.0,0.6216177791080515,0.003190680136382101
p2c,0.5,5,0.9063194308106822,0.007923575379098389,0.5639376140066148,0.0036452736560968076,14.767334459822417,2.1618445089153706,385256625450.09973,7142604596.351553,1.0,0.0,1.0670799834263691,0.0026410948093922213
p2c,0.7,5,0.7785707883479968,0.011225068758515127,0.6303203271933343,0.006458484954154355,13.804740801371475,1.3508364482482214,462849733090.74756,6074761660.655594,1.0,0.0,1.5278896798805681,0.0029178773715911434
p2c,0.85,5,0.6543894036415061,0.017218400886516865,0.7030196608980017,0.010084481580945544,8.904566642969701,0.7771377933241793,476818125747.8622,13740556151.45561,1.0,0.0,1.9525342363734102,0.0037334493727308737
p2c,0.95,5,0.6062910734345475,0.0054971138068614835,0.7318237179365624,0.0034233679477483157,9.436438001979742,1.0274846850082069,459204332861.90295,9226923006.896536,1.0,0.0,2.0936508224127013,0.003980432371783792
stps-spatial,0.3,5,0.9451865896611322,0.014511042421139,0.5574064220411655,0.007649609410868395,14.625692914914096,1.1504156620185624,201978264417.97006,2909561631.375679,1.0,0.0,0.6216177791080515,0.003190680136382101
stps-spatial,0.5,5,0.7754256375799028,0.01140343392440181,0.6346490792199821,0.006737142804140133,13.349745404009042,1.2217192263649466,302014739937.9499,6134068431.966029,1.0,0.0,1.0670799834263691,0.0026410948093922213
stps-spatial,0.7,5,0.6901584765506971,0.009303463116487682,0.6811267277879439,0.00556926656835961,8.300209414095944,0.9372991304806076,376627084090.00275,10402393857.711603,1.0,0.0,1.5278896798805681,0.0029178773715911434
stps-spatial,0.85,5,0.5852696672194796,0.00920462249759735,0.7446511735118929,0.005662274770551335,6.540551685300099,0.5918489021592405,385267202522.1394,8251996124.995157,1.0,0.0,1.9525342363734102,0.0037334493727308737
stps-spatial,0.95,5,0.5529471618495887,0.008910056812019904,0.7641987946629917,0.005387058536527405,5.315082129776093,0.3048440668821521,382792827673.0974,9483097531.35385,1.0,0.0,2.0936508224127013,0.003980432371783792
