scheduler,seed,cards,tasks,arrival_mode,base_algo,phase_enabled,pair_base_scheduler,pair_phase_scheduler,bw_max,d_max,card_cv,median_card_cv,p95_card_cv,std_card_cv,card_jfi,card_lif,max_min_ratio,completion_rate,throughput,throughput_excl_cold,mean_cold_start,p99_delay,p99_delay_excl_cold,avg_delay,avg_delay_excl_cold,mean_start_offset,p95_start_offset,reject_rate_bw,avg_congestion_ratio,mean_congestion_wait_ticks,time_card_cv_demand_mean,time_card_lif_demand_mean,time_card_lif_served_mean
rr-phase,21,16,1600,poisson,RR,True,rr,rr-phase,900000.0,16,0.5482504143474817,0.5438963770612557,0.778397034113324,0.14655594119328144,0.7680151148871963,2.5112420714453623,21.42409718099423,0.856875,2.611428571428571,2.6254536057994495,2.8045222465353756,17.0,15.0,8.465353756382203,5.660831509846827,2.8045222465353756,10.0,0.143125,0.0,0.0,0.6095584618404842,3.451972443331627,3.451972443331627
rr-phase,2024,16,1600,poisson,RR,True,rr,rr-phase,900000.0,16,0.5493914623272524,0.5513130757074212,0.7778219518225246,0.14366503779288373,0.7670054070048149,2.5785844040487658,21.37676777474143,0.856875,2.611428571428571,2.6260881835595042,2.9307075127644056,16.0,15.0,8.591539022611233,5.660831509846827,2.9307075127644056,11.0,0.143125,0.0,0.0,0.6029989452929387,3.4941586697725877,3.4941586697725877
rr-phase,123,16,1600,poisson,RR,True,rr,rr-phase,900000.0,16,0.5411490766517443,0.5521878638378319,0.7412280648594676,0.138738151068142,0.7716908529317099,2.533119989668237,22.978367095245293,0.856875,2.611428571428571,2.625831381045979,2.8796498905908097,16.0,15.0,8.540481400437637,5.660831509846827,2.8796498905908097,11.0,0.143125,0.0,0.0,0.6022109166910274,3.4945448291993984,3.4945448291993984
rr,21,16,1600,poisson,RR,False,rr,rr-phase,900000.0,16,0.8644703588854397,0.8389742029719975,1.1827414405154961,0.16216152733208705,0.5783064700873563,2.9517346465356953,59.165366814217414,1.0,3.0476190476190474,3.0476190476190474,0.0,15.0,15.0,5.28,5.28,0.0,0.0,0.0,0.04890656711062509,0.74375,1.4561656568297825,7.212599867974904,2.874928325047119
bestfit-phase,42,16,1600,poisson,BestFit,True,bestfit,bestfit-phase,900000.0,16,0.5545463589247699,0.5613729903086775,0.7663378490088032,0.1416810687094811,0.7636213268388563,2.493954143062008,25.637626838568202,0.856875,2.606463878326996,2.6154801992597334,1.813274981765135,23.0,15.0,7.474106491611962,5.660831509846827,1.813274981765135,8.0,0.143125,0.0,0.0,0.6098388770911722,3.4861795099602912,3.4861795099602912
bestfit-phase,99,16,1600,poisson,BestFit,True,bestfit,bestfit-phase,900000.0,16,0.5430105931252279,0.5609920632496666,0.7395313475296345,0.13343094747913095,0.7709017358239213,2.4660667966571173,23.699003153016648,0.856875,2.611428571428571,2.6207314352639357,1.863603209336251,23.0,15.0,7.524434719183078,5.660831509846827,1.863603209336251,8.0,0.143125,0.0,0.0,0.5973963475468349,3.4432882875256987,3.4432882875256987
rr,2024,16,1600,poisson,RR,False,rr,rr-phase,900000.0,16,0.868755783724496,0.8485346918227156,1.1660769565161422,0.13964085862484932,0.5743699801287792,2.9589275904356223,57.96730169333732,1.0,3.0476190476190474,3.0476190476190474,0.0,15.0,15.0,5.28,5.28,0.0,0.0,0.0,0.04802801355562456,0.739375,1.459751439090617,7.1106909864476995,2.908607672187782
drf-phase,21,16,1600,poisson,DRF,True,drf,drf-phase,900000.0,16,0.5604571115769829,0.5626200262994147,0.7728242873899295,0.1358614261271515,0.7601190936458541,2.5018759947621207,26.233666543752687,0.856875,2.611428571428571,2.620263805015139,1.7702407002188183,23.0,15.0,7.431072210065645,5.660831509846827,1.7702407002188183,8.0,0.143125,0.0,0.0,0.6129131473260923,3.456272563249698,3.456272563249698
rr,99,16,1600,poisson,RR,False,rr,rr-phase,900000.0,16,0.8512066844243356,0.8395092556324102,1.0859034295592254,0.13093874066836436,0.5837253265876169,2.913508099443546,58.740126831711606,1.0,3.0476190476190474,3.0476190476190474,0.0,15.0,15.0,5.28,5.28,0.0,0.0,0.0,0.049463551736461345,0.7425,1.446370963372269,7.141637345654772,2.854695016767499
drf,2024,16,1600,poisson,DRF,False,drf,drf-phase,900000.0,16,0.7976167449045841,0.7878802117071352,1.038045980490244,0.13189103287073023,0.6146209883342778,2.9634842144633096,43.06153334625317,1.0,3.0476190476190474,3.0476190476190474,0.0,15.0,15.0,5.28,5.28,0.0,0.0,0.0,0.037649126658747034,0.605625,1.319813846479812,6.854871274747564,2.963793334411557
bestfit,99,16,1600,poisson,BestFit,False,bestfit,bestfit-phase,900000.0,16,0.7884399930647343,0.7872200290763375,1.0138693637439637,0.12122210360901729,0.6194703869647777,2.91475029394948,40.39164882057443,1.0,3.0476190476190474,3.0476190476190474,0.0,15.0,15.0,5.28,5.28,0.0,0.0,0.0,0.03871863576246447,0.618125,1.3214130469963457,7.132024357199128,2.8994793221298267
rr-phase,99,16,1600,poisson,RR,True,rr,rr-phase,900000.0,16,0.5298127790972389,0.5360798906705048,0.7400407490989019,0.1393894007520806,0.7789381297805402,2.5109647147947602,21.417968597879153,0.856875,2.611428571428571,2.6256663202360198,2.8468271334792123,16.0,15.0,8.507658643326039,5.660831509846827,2.8468271334792123,10.0,0.143125,0.0,0.0,0.5910218046084934,3.4301937630270576,3.4301937630270576
bestfit-phase,123,16,1600,poisson,BestFit,True,bestfit,bestfit-phase,900000.0,16,0.5473434633692486,0.5496175852116202,0.7728358841610217,0.14397739003920831,0.768125704172897,2.516824073400155,24.960913097509994,0.856875,2.611428571428571,2.6201578807238035,1.7490882567469002,21.0,15.0,7.4099197665937275,5.660831509846827,1.7490882567469002,9.0,0.143125,0.0,0.0,0.5990828588688333,3.5145039449226303,3.5145039449226303
drf,99,16,1600,poisson,DRF,False,drf,drf-phase,900000.0,16,0.7884399930647343,0.7872200290763375,1.0138693637439637,0.12122210360901729,0.6194703869647777,2.91475029394948,40.39164882057443,1.0,3.0476190476190474,3.0476190476190474,0.0,15.0,15.0,5.28,5.28,0.0,0.0,0.0,0.03871863576246447,0.618125,1.3214130469963457,7.132024357199128,2.8994793221298267
drf-phase,42,16,1600,poisson,DRF,True,drf,drf-phase,900000.0,16,0.5545463589247699,0.5613729903086775,0.7663378490088032,0.1416810687094811,0.7636213268388563,2.493954143062008,25.637626838568202,0.856875,2.606463878326996,2.6154801992597334,1.813274981765135,23.0,15.0,7.474106491611962,5.660831509846827,1.813274981765135,8.0,0.143125,0.0,0.0,0.6098388770911722,3.4861795099602912,3.4861795099602912
bestfit,2024,16,1600,poisson,BestFit,False,bestfit,bestfit-phase,900000.0,16,0.7976167449045841,0.7878802117071352,1.038045980490244,0.13189103287073023,0.6146209883342778,2.9634842144633096,43.06153334625317,1.0,3.0476190476190474,3.0476190476190474,0.0,15.0,15.0,5.28,5.28,0.0,0.0,0.0,0.037649126658747034,0.605625,1.319813846479812,6.854871274747564,2.963793334411557
rr,42,16,1600,poisson,RR,False,rr,rr-phase,900000.0,16,0.8622722882391542,0.8459649684381886,1.175414752489641,0.14748029652971065,0.578515753822079,2.9485734935649583,57.943195045080856,1.0,3.053435114503817,3.053435114503817,0.0,15.0,15.0,5.28,5.28,0.0,0.0,0.0,0.048811706993346804,0.745625,1.4577305817502362,7.231477262411669,2.8830890522747024
rr-phase,42,16,1600,poisson,RR,True,rr,rr-phase,900000.0,16,0.5430072829776765,0.5476737642199276,0.7551721518171828,0.13893858295568898,0.7707334375594658,2.5103925953899187,21.60759669039716,0.856875,2.616412213740458,2.6300860958009933,2.7242888402625822,16.299999999999955,15.0,8.385120350109409,5.660831509846827,2.7242888402625822,10.0,0.143125,0.0,0.0,0.6054692420867956,3.4641082690958696,3.4641082690958696
drf-phase,2024,16,1600,poisson,DRF,True,drf,drf-phase,900000.0,16,0.5641889773468711,0.5791165423692858,0.7985077170107556,0.14631202357905562,0.7576003311316991,2.5495049762957747,26.90061569979405,0.856875,2.586792452830189,2.5962788770330465,1.9365426695842451,22.0,15.0,7.597374179431072,5.660831509846827,1.9365426695842451,9.0,0.143125,0.0,0.0,0.6144287881028279,3.527348718559079,3.527348718559079
drf-phase,99,16,1600,poisson,DRF,True,drf,drf-phase,900000.0,16,0.5430105931252279,0.5609920632496666,0.7395313475296345,0.13343094747913095,0.7709017358239213,2.4660667966571173,23.699003153016648,0.856875,2.611428571428571,2.6207314352639357,1.863603209336251,23.0,15.0,7.524434719183078,5.660831509846827,1.863603209336251,8.0,0.143125,0.0,0.0,0.5973963475468349,3.4432882875256987,3.4432882875256987
bestfit-phase,21,16,1600,poisson,BestFit,True,bestfit,bestfit-phase,900000.0,16,0.5604571115769829,0.5626200262994147,0.7728242873899295,0.1358614261271515,0.7601190936458541,2.5018759947621207,26.233666543752687,0.856875,2.611428571428571,2.620263805015139,1.7702407002188183,23.0,15.0,7.431072210065645,5.660831509846827,1.7702407002188183,8.0,0.143125,0.0,0.0,0.6129131473260923,3.456272563249698,3.456272563249698
drf,123,16,1600,poisson,DRF,False,drf,drf-phase,900000.0,16,0.7936597520454084,0.7857366591157249,1.0234753420552856,0.1327521871324615,0.6168634556856127,2.957332657280573,41.59880104673087,1.0,3.0476190476190474,3.0476190476190474,0.0,15.0,15.0,5.28,5.28,0.0,0.0,0.0,0.03757209794067873,0.613125,1.3194355398319348,6.936906598077103,2.9650234165759475
