scheduler,seed,cards,tasks,arrival_mode,base_algo,phase_enabled,pair_base_scheduler,pair_phase_scheduler,bw_max,d_max,card_cv,median_card_cv,p95_card_cv,std_card_cv,card_jfi,card_lif,max_min_ratio,completion_rate,throughput,throughput_excl_cold,mean_cold_start,p99_delay,p99_delay_excl_cold,avg_delay,avg_delay_excl_cold,mean_start_offset,p95_start_offset,reject_rate_bw,avg_congestion_ratio,mean_congestion_wait_ticks,time_card_cv_demand_mean,time_card_lif_demand_mean,time_card_lif_served_mean
rr,21,4,800,poisson,RR,False,rr,rr-phase,5000000.0,16,0.7531379359825002,0.7582080729047619,1.117682256591567,0.24561981507213956,0.6455125474420916,2.1901127737881856,8.897725016366927,1.0,1.5238095238095237,1.5238095238095237,0.0,15.0,15.0,5.29125,5.29125,0.0,0.0,0.0,0.0,0.0,0.9016017450245336,3.0973459524774,3.0973459524774
rr,99,4,800,poisson,RR,False,rr,rr-phase,5000000.0,16,0.7463846805646395,0.752581340202612,1.100976278279609,0.22827665949960177,0.6487622563423379,2.1812953551020358,9.42579644964235,1.0,1.5325670498084292,1.5325670498084292,0.0,15.0,15.0,5.285,5.285,0.0,0.0,0.0,0.0,0.0,0.8907073257318462,3.0402515593600334,3.0402515593600334
rr,42,4,800,poisson,RR,False,rr,rr-phase,5000000.0,16,0.7523618002572316,0.7671477091772793,1.1446878856285023,0.24828734894852197,0.6461740048766264,2.204296370341439,9.278403305816553,1.0,1.5296367112810707,1.5296367112810707,0.0,15.0,15.0,5.28625,5.28625,0.0,0.0,0.0,0.0,0.0,0.8924262177141686,3.036467046912273,3.036467046912273
rr,123,4,800,poisson,RR,False,rr,rr-phase,5000000.0,16,0.7573658719710795,0.7756054101755305,1.1286763225593575,0.24114612303896296,0.643330368407214,2.205830468348533,9.493717858943976,1.0,1.5267175572519085,1.5267175572519085,0.0,15.0,15.0,5.28125,5.28125,0.0,0.0,0.0,0.0,0.0,0.9007013747562727,3.1217605509734705,3.1217605509734705
rr,2024,4,800,poisson,RR,False,rr,rr-phase,5000000.0,16,0.7651861427635983,0.7877057847812736,1.145981688803483,0.23840322930624358,0.6377963859968726,2.223312801172679,9.56738763692063,1.0,1.5267175572519085,1.5267175572519085,0.0,15.0,15.0,5.285,5.285,0.0,0.0,0.0,0.0,0.0,0.9027497261238916,3.189442344250391,3.189442344250391
rr-phase,21,4,800,poisson,RR,True,rr,rr-phase,5000000.0,16,0.5455210310868069,0.548034982916295,0.8601724462637916,0.19741999762199192,0.7676003671360858,1.7974848493439963,5.8025788714769515,1.0,1.4209591474245116,1.4356761024983007,5.77125,81.01999999999998,72.0,25.63875,19.8675,5.77125,16.0,0.0,0.0,0.0,0.6728460212954903,2.107523044279605,2.107523044279605
rr-phase,42,4,800,poisson,RR,True,rr,rr-phase,5000000.0,16,0.5787365650720663,0.5946170604824361,0.8725140274875893,0.18749339068282436,0.7472537768363804,1.8628424043302807,5.581348753766734,1.0,1.4571948998178506,1.4718666488816112,5.4725,54.00999999999999,44.0,18.76125,13.28875,5.4725,16.0,0.0,0.0,0.0,0.7017979047113045,2.3822049738854574,2.3822049738854574
rr-phase,99,4,800,poisson,RR,True,rr,rr-phase,5000000.0,16,0.5713404582188938,0.5962001637764981,0.8319230893187995,0.17878799496861808,0.7514088955493053,1.8546312516292474,5.68934868929018,1.0,1.4234875444839858,1.438211943001863,5.75375,110.0,98.0,28.4875,22.73375,5.75375,16.0,0.0,0.0,0.0,0.6857509089675141,2.2763988905026387,2.2763988905026387
rr-phase,123,4,800,poisson,RR,True,rr,rr-phase,5000000.0,16,0.5646327540040044,0.5616873245823581,0.8393056829410448,0.16833915461030508,0.7569832503972675,1.8495660633561313,5.152377102573425,1.0,1.436265709156194,1.451316275831729,5.77625,80.00999999999999,72.00999999999999,24.5175,18.74125,5.77625,16.0,0.0,0.0,0.0,0.6766957281364396,2.2037841606805846,2.2037841606805846
bestfit,21,4,800,poisson,BestFit,False,bestfit,bestfit-phase,5000000.0,16,0.6586929668490503,0.6620461517779408,1.006794136020553,0.22866692596392532,0.6997972433808499,2.0524437062650773,7.832760835829458,1.0,1.5238095238095237,1.5238095238095237,0.0,15.0,15.0,5.32125,5.32125,0.0,0.0,0.0,0.0,0.0,0.8010147584919369,2.9968273396143936,2.9968273396143936
