cards,arrival_mode,base_algo,phase_enabled,scheduler,card_id,kind,n,mean_load_mean,mean_load_ci95,max_load_mean,max_load_ci95,std_load_mean,std_load_ci95,time_cv_mean,time_cv_ci95,time_lif_mean,time_lif_ci95,time_jfi_mean,time_jfi_ci95,mean_cong_ratio_mean,mean_cong_ratio_ci95,max_cong_ratio_mean,max_cong_ratio_ci95,completed_tasks_mean,completed_tasks_ci95,throughput_mean,throughput_ci95
4,poisson,BestFit,True,bestfit-phase,0,served,5,410894.1055525781,9270.02762693142,877221.3,4836.152515254246,165399.64429450163,4024.673585046366,0.4029209637578896,0.017522765823144416,2.1360860208229986,0.05161009922217654,0.8602228665062657,0.010391767093027004,0.0,0.0,0.0,0.0,160.2,4.311999999999999,0.4037089385558431,0.010028093596379786
4,poisson,BestFit,True,bestfit-phase,1,served,5,396730.3325589496,7539.520519343758,854241.484375,43329.27819472252,166125.3208272824,8252.830453645094,0.41904938447813955,0.02512951457906605,2.1537424361601682,0.11262263991420109,0.8504416634371686,0.015306950764672868,0.0,0.0,0.0,0.0,153.2,5.163400429949241,0.38610582883625233,0.013448291137775431
4,poisson,BestFit,True,bestfit-phase,2,served,5,405630.00144664035,11712.928415841405,876722.63125,4742.021569160175,162900.3190751993,6726.128821691337,0.40218398794311305,0.024515494789544904,2.163467033260447,0.07021056780429097,0.8605683034988055,0.014675429299671703,0.0,0.0,0.0,0.0,146.2,5.99003706165496,0.36845684349840496,0.015251708248412488
4,poisson,BestFit,True,bestfit-phase,3,served,5,375731.6820774155,3705.549123042533,877104.015625,5417.497855649332,168672.99163184298,13623.383094572242,0.44912384051172016,0.038213137804518744,2.334556486857479,0.02071691049545285,0.8317975593347523,0.023691729163653072,0.0,0.0,0.0,0.0,143.4,2.5252833504381242,0.3613848514260227,0.005924282909131289
4,poisson,BestFit,True,bestfit-phase,0,demand,5,410894.1055525781,9270.02762693142,877221.3,4836.152515254246,165399.64429450163,4024.673585046366,0.4029209637578896,0.017522765823144416,2.1360860208229986,0.05161009922217654,0.8602228665062657,0.010391767093027004,0.0,0.0,0.0,0.0,160.2,4.311999999999999,0.4037089385558431,0.010028093596379786
4,poisson,BestFit,True,bestfit-phase,1,demand,5,396730.3325589496,7539.520519343758,854241.484375,43329.27819472252,166125.3208272824,8252.830453645094,0.41904938447813955,0.02512951457906605,2.1537424361601682,0.11262263991420109,0.8504416634371686,0.015306950764672868,0.0,0.0,0.0,0.0,153.2,5.163400429949241,0.38610582883625233,0.013448291137775431
4,poisson,BestFit,True,bestfit-phase,2,demand,5,405630.00144664035,11712.928415841405,876722.63125,4742.021569160175,162900.3190751993,6726.128821691337,0.40218398794311305,0.024515494789544904,2.163467033260447,0.07021056780429097,0.8605683034988055,0.014675429299671703,0.0,0.0,0.0,0.0,146.2,5.99003706165496,0.36845684349840496,0.015251708248412488
4,poisson,BestFit,True,bestfit-phase,3,demand,5,375731.6820774155,3705.549123042533,877104.015625,5417.497855649332,168672.99163184298,13623.383094572242,0.44912384051172016,0.038213137804518744,2.334556486857479,0.02071691049545285,0.8317975593347523,0.023691729163653072,0.0,0.0,0.0,0.0,143.4,2.5252833504381242,0.3613848514260227,0.005924282909131289
4,poisson,DRF,True,drf-phase,0,served,5,410894.1055525781,9270.02762693142,877221.3,4836.152515254246,165399.64429450163,4024.673585046366,0.4029209637578896,0.017522765823144416,2.1360860208229986,0.05161009922217654,0.8602228665062657,0.010391767093027004,0.0,0.0,0.0,0.0,160.2,4.311999999999999,0.4037089385558431,0.010028093596379786
4,poisson,DRF,True,drf-phase,1,served,5,396730.3325589496,7539.520519343758,854241.484375,43329.27819472252,166125.3208272824,8252.830453645094,0.41904938447813955,0.02512951457906605,2.1537424361601682,0.11262263991420109,0.8504416634371686,0.015306950764672868,0.0,0.0,0.0,0.0,153.2,5.163400429949241,0.38610582883625233,0.013448291137775431
4,poisson,DRF,True,drf-phase,2,served,5,405630.00144664035,11712.928415841405,876722.63125,4742.021569160175,162900.3190751993,6726.128821691337,0.40218398794311305,0.024515494789544904,2.163467033260447,0.07021056780429097,0.8605683034988055,0.014675429299671703,0.0,0.0,0.0,0.0,146.2,5.99003706165496,0.36845684349840496,0.015251708248412488
4,poisson,DRF,True,drf-phase,3,served,5,375731.6820774155,3705.549123042533,877104.015625,5417.497855649332,168672.99163184298,13623.383094572242,0.44912384051172016,0.038213137804518744,2.334556486857479,0.02071691049545285,0.8317975593347523,0.023691729163653072,0.0,0.0,0.0,0.0,143.4,2.5252833504381242,0.3613848514260227,0.005924282909131289
4,poisson,DRF,True,drf-phase,0,demand,5,410894.1055525781,9270.02762693142,877221.3,4836.152515254246,165399.64429450163,4024.673585046366,0.4029209637578896,0.017522765823144416,2.1360860208229986,0.05161009922217654,0.8602228665062657,0.010391767093027004,0.0,0.0,0.0,0.0,160.2,4.311999999999999,0.4037089385558431,0.010028093596379786
4,poisson,DRF,True,drf-phase,1,demand,5,396730.3325589496,7539.520519343758,854241.484375,43329.27819472252,166125.3208272824,8252.830453645094,0.41904938447813955,0.02512951457906605,2.1537424361601682,0.11262263991420109,0.8504416634371686,0.015306950764672868,0.0,0.0,0.0,0.0,153.2,5.163400429949241,0.38610582883625233,0.013448291137775431
4,poisson,DRF,True,drf-phase,2,demand,5,405630.00144664035,11712.928415841405,876722.63125,4742.021569160175,162900.3190751993,6726.128821691337,0.40218398794311305,0.024515494789544904,2.163467033260447,0.07021056780429097,0.8605683034988055,0.014675429299671703,0.0,0.0,0.0,0.0,146.2,5.99003706165496,0.36845684349840496,0.015251708248412488
4,poisson,DRF,True,drf-phase,3,demand,5,375731.6820774155,3705.549123042533,877104.015625,5417.497855649332,168672.99163184298,13623.383094572242,0.44912384051172016,0.038213137804518744,2.334556486857479,0.02071691049545285,0.8317975593347523,0.023691729163653072,0.0,0.0,0.0,0.0,143.4,2.5252833504381242,0.3613848514260227,0.005924282909131289
4,bursty,RR,True,rr-phase,0,served,5,366874.52877470356,10851.197916819629,873477.4625,9372.287886034772,200440.6931853609,4483.087669741141,0.5472295552233142,0.028769365098609504,2.382988412509416,0.07335983330035713,0.7695180975703596,0.018649454878308203,0.0,0.0,0.0,0.0,138.0,3.279707304013576,0.3472491337063454,0.007580850022708877
4,bursty,RR,True,rr-phase,1,served,5,373703.8623072403,19490.430131207555,890585.55,8876.333911475982,208074.15404028722,9567.958012610188,0.5571065124048942,0.013056597101900616,2.390150024583421,0.1311408272453247,0.7631405520359288,0.008475368569861173,0.0,0.0,0.0,0.0,135.6,4.824945181035739,0.3412670033863284,0.013228058240738328
4,bursty,RR,True,rr-phase,2,served,5,362936.77753888885,15901.37274593313,878868.45,27717.629340756786,206818.43737133426,7249.243128082108,0.571381164471216,0.037927648370917846,2.4242970928255487,0.08661376586101902,0.7538573862532272,0.024591746979457856,1.0426477005075346e-05,2.0435894929947677e-05,0.004128884894009838,0.008092614392259282,136.8,4.935153898309554,0.3442200458351523,0.011767317375124556
4,bursty,RR,True,rr-phase,3,served,5,371489.59218208375,11952.65568007172,886859.4625,14082.418496050936,202890.16976331235,8323.607772270394,0.5465675745249335,0.02524189203682095,2.389129307580794,0.06296132818685363,0.7699530726017753,0.016358086116641045,0.0,0.0,0.0,0.0,136.8,4.776934581925944,0.3442110620061604,0.011012419771200328
4,bursty,RR,True,rr-phase,0,demand,5,366874.52877470356,10851.197916819629,873477.4625,9372.287886034772,200440.6931853609,4483.087669741141,0.5472295552233142,0.028769365098609504,2.382988412509416,0.07335983330035713,0.7695180975703596,0.018649454878308203,0.0,0.0,0.0,0.0,138.0,3.279707304013576,0.3472491337063454,0.007580850022708877
4,bursty,RR,True,rr-phase,1,demand,5,373703.8623072403,19490.430131207555,890585.55,8876.333911475982,208074.15404028722,9567.958012610188,0.5571065124048942,0.013056597101900616,2.390150024583421,0.1311408272453247,0.7631405520359288,0.008475368569861173,0.0,0.0,0.0,0.0,135.6,4.824945181035739,0.3412670033863284,0.013228058240738328
4,bursty,RR,True,rr-phase,2,demand,5,362936.77753888885,15901.37274593313,882662.778125,31266.340002222565,206829.1748664535,7258.59958571815,0.5714120008025436,0.03796001480241906,2.4351937831549684,0.10636913836339686,0.7538374119819038,0.024612717224744122,1.0426477005075346e-05,2.0435894929947677e-05,0.004128884894009838,0.008092614392259282,136.8,4.935153898309554,0.3442200458351523,0.011767317375124556
4,bursty,RR,True,rr-phase,3,demand,5,371489.59218208375,11952.65568007172,886859.4625,14082.418496050936,202890.16976331235,8323.607772270394,0.5465675745249335,0.02524189203682095,2.389129307580794,0.06296132818685363,0.7699530726017753,0.016358086116641045,0.0,0.0,0.0,0.0,136.8,4.776934581925944,0.3442110620061604,0.011012419771200328
4,bursty,RR,False,rr,0,served,5,558721.1636324709,14026.72088941819,900000.0,0.0,318774.59834913857,12997.77088385293,0.5711066567665894,0.03085506303059266,1.6118837460036588,0.040656810819978996,0.754042326288935,0.020017714336781164,0.14283064286685307,0.017668226067405,0.7378260139251201,0.026434000372051923,203.8,6.363211767653187,0.514115066185207,0.015451706184082314
4,bursty,RR,False,rr,1,served,5,535488.6978768527,20444.478342461694,900000.0,0.0,328402.1965169146,8506.496344765692,0.6137475081550615,0.0155355631039128,1.683396180261871,0.06764241983515537,0.7263949425048413,0.010055038415300071,0.14345373908587558,0.016802558038801776,0.7557381335513838,0.010570686178682091,200.2,5.727762564911363,0.5050441508497117,0.014184321611435206
4,bursty,RR,False,rr,2,served,5,536148.4558780717,25282.686415660723,900000.0,0.0,319967.4849617979,17568.72517177405,0.5991478751614623,0.053629388350241856,1.682449542860981,0.07767807019647593,0.735876952448444,0.03468709500142482,0.14319629393646466,0.01915461239297706,0.7479537892520572,0.014254210267656539,197.4,6.7499167402272455,0.49800029500973797,0.017339303606730798
4,bursty,RR,False,rr,3,served,5,544464.8765242326,14345.77202156407,900000.0,0.0,314327.737938352,2979.533342497215,0.5776901479181021,0.014628105625896006,1.6541985450777814,0.043724660150901255,0.7497792452925094,0.009499184644669435,0.14317472241735113,0.015237881664339198,0.7540908742171084,0.01845487868521301,198.6,6.518289346139829,0.5010483444572912,0.017368456458302598
4,bursty,RR,False,rr,0,demand,5,557462.7550883257,14400.014584049779,2630558.49375,129412.91496008812,636156.16195611,33293.50697685249,1.1416245011774802,0.06116890961344907,4.721245498434161,0.2459355343369477,0.4350949136898587,0.027206132506784348,0.14283064286685307,0.017668226067405,0.7378260139251201,0.026434000372051923,203.8,6.363211767653187,0.514115066185207,0.015451706184082314
4,bursty,RR,False,rr,1,demand,5,536000.8656804708,20858.003520722847,2811799.65625,552253.561496823,645252.743583837,34935.73866350834,1.2040079557254755,0.04878774377408252,5.237782010863381,0.9422804222720532,0.4087950485557646,0.02011927884003197,0.14345373908587558,0.016802558038801776,0.7557381335513838,0.010570686178682091,200.2,5.727762564911363,0.5050441508497117,0.014184321611435206
4,bursty,RR,False,rr,2,demand,5,535281.5006655138,24883.499975070677,2743264.478125,270870.06344182306,632505.3396947978,38358.65862737941,1.1827714879937803,0.07044525808178075,5.13344515065577,0.5203702738510957,0.4180461904444916,0.029109431500577414,0.14319629393646466,0.01915461239297706,0.7479537892520572,0.014254210267656539,197.4,6.7499167402272455,0.49800029500973797,0.017339303606730798
